join_id,id,pagerank,week,num_msgs,vacation,lockdown,num_friends,new_cons,trans
123_2019-09-22,123,0.03145919327951638,2019-09-22T00:00:00Z,12,FALSE,FALSE,5,0,0.9790357529794161
158_2019-09-22,158,0.031097642987458665,2019-09-22T00:00:00Z,10,FALSE,FALSE,5,1,1.0054529991495333
164_2019-09-22,164,0.05353965046186035,2019-09-22T00:00:00Z,29,FALSE,FALSE,11,1,0.6532334752279987
165_2019-09-22,165,0.020670693808652635,2019-09-22T00:00:00Z,2,FALSE,FALSE,4,1,0.8949999999999999
177_2019-09-22,177,0.034741941499125545,2019-09-22T00:00:00Z,52,FALSE,FALSE,7,1,0.7754621790146812
187_2019-09-22,187,0.0563012000906197,2019-09-22T00:00:00Z,34,FALSE,FALSE,5,1,0.45513721429099807
260_2019-09-22,260,0.04334989035830776,2019-09-22T00:00:00Z,19,FALSE,FALSE,6,2,0.5076231744503322
29_2019-09-22,29,0.03667577987585421,2019-09-22T00:00:00Z,32,FALSE,FALSE,4,2,0.7334492081884909
292_2019-09-22,292,0.025964724705371176,2019-09-22T00:00:00Z,3,FALSE,FALSE,3,0,0.8328970331588134
293_2019-09-22,293,0.03682308949464254,2019-09-22T00:00:00Z,17,FALSE,FALSE,3,0,0.8847283406754783
305_2019-09-22,305,0.030031090815616272,2019-09-22T00:00:00Z,6,FALSE,FALSE,5,0,0.9440763914448134
309_2019-09-22,309,0.03706265355690764,2019-09-22T00:00:00Z,8,FALSE,FALSE,2,0,1.3449248120300756
38_2019-09-22,38,0.03130769588007013,2019-09-22T00:00:00Z,52.32,FALSE,FALSE,26,3,0.37204690463873297
4_2019-09-22,4,0.04699110940694876,2019-09-22T00:00:00Z,26,FALSE,FALSE,4,1,0.3242187500000014
63_2019-09-22,63,0.03848450171538119,2019-09-22T00:00:00Z,8,FALSE,FALSE,3,1,0.3382467440543624
164_2019-09-29,164,0.05353965046186035,2019-09-29T00:00:00Z,56,FALSE,FALSE,6,1,1.023505870201567
165_2019-09-29,165,0.020670693808652635,2019-09-29T00:00:00Z,17,FALSE,FALSE,3,1,1.0659217877094973
187_2019-09-29,187,0.0563012000906197,2019-09-29T00:00:00Z,175,FALSE,FALSE,26,20,0.5345608717828028
190_2019-09-29,190,0.04783588672488347,2019-09-29T00:00:00Z,35,FALSE,FALSE,12,6,0.7550346749038442
260_2019-09-29,260,0.04334989035830776,2019-09-29T00:00:00Z,64,FALSE,FALSE,6,1,0.7668575544750489
29_2019-09-29,29,0.03667577987585421,2019-09-29T00:00:00Z,12,FALSE,FALSE,4,1,0.696262476437691
293_2019-09-29,293,0.03682308949464254,2019-09-29T00:00:00Z,54,FALSE,FALSE,10,0,1.0060128817306697
309_2019-09-29,309,0.03706265355690764,2019-09-29T00:00:00Z,31,FALSE,FALSE,6,4,0.9836312586364115
38_2019-09-29,38,0.03130769588007013,2019-09-29T00:00:00Z,28.36,FALSE,FALSE,9,2,1.0327541586672688
4_2019-09-29,4,0.04699110940694876,2019-09-29T00:00:00Z,64,FALSE,FALSE,12,5,0.9907974609862089
63_2019-09-29,63,0.03848450171538119,2019-09-29T00:00:00Z,17,FALSE,FALSE,4,5,0.4935010482180292
14_2019-10-06,14,0.0310440881277427,2019-10-06T00:00:00Z,8,FALSE,FALSE,3,1,0.9099977954144637
158_2019-10-06,158,0.031097642987458665,2019-10-06T00:00:00Z,12,FALSE,FALSE,5,0,0.6498601634640899
164_2019-10-06,164,0.05353965046186035,2019-10-06T00:00:00Z,23,FALSE,FALSE,3,0,0.9349781320541756
187_2019-10-06,187,0.0563012000906197,2019-10-06T00:00:00Z,298,FALSE,FALSE,26,3,0.3531818229074611
190_2019-10-06,190,0.04783588672488347,2019-10-06T00:00:00Z,37,FALSE,FALSE,14,5,0.4846365418021471
22_2019-10-06,22,0.03266708116327665,2019-10-06T00:00:00Z,176,FALSE,FALSE,5,2,1.0633612087807673
259_2019-10-06,259,0.050386659210068054,2019-10-06T00:00:00Z,14,FALSE,FALSE,6,1,0.8255664355657235
260_2019-10-06,260,0.04334989035830776,2019-10-06T00:00:00Z,78,FALSE,FALSE,6,4,0.7803163166958946
29_2019-10-06,29,0.03667577987585421,2019-10-06T00:00:00Z,47,FALSE,FALSE,6,3,0.627774776944041
292_2019-10-06,292,0.025964724705371176,2019-10-06T00:00:00Z,14,FALSE,FALSE,4,0,0.5805553837590471
293_2019-10-06,293,0.03682308949464254,2019-10-06T00:00:00Z,45,FALSE,FALSE,8,1,0.521245655103925
