pair_key,friendship,friendship_strength,lost_con,lockdown
1 10,1,NA,NA,FALSE
1 10,0.24,NA,NA,FALSE
1 10,0.12,NA,NA,FALSE
1 10,0.24,0.4,FALSE,FALSE
1 10,0.24,0.21000000000000002,FALSE,FALSE
1 10,0.6,0.30000000000000004,FALSE,FALSE
1 10,0.12,0.30000000000000004,TRUE,FALSE
1 10,0.24,0.30000000000000004,FALSE,FALSE
1 10,0.72,0.42000000000000004,FALSE,FALSE
1 10,1.08,0.54,FALSE,FALSE
1 10,0.12,0.54,TRUE,FALSE
1 10,0.12,0.51,TRUE,FALSE
1 10,2.08,0.8500000000000001,FALSE,FALSE
1 10,0.12,0.6100000000000001,TRUE,FALSE
1 10,0.24,0.64,TRUE,TRUE
1 10,0.6,0.76,FALSE,TRUE
1 10,0.24,0.30000000000000004,FALSE,TRUE
1 10,0.24,0.33,FALSE,TRUE
1 10,0.12,0.30000000000000004,TRUE,TRUE
1 10,0.12,0.18000000000000002,FALSE,TRUE
1 10,2.6666666666666665,0.7866666666666667,FALSE,FALSE
1 10,0.36,0.8166666666666667,TRUE,FALSE
1 10,0.32,0.8666666666666667,TRUE,TRUE
1 10,0.24,0.8966666666666667,TRUE,TRUE
1 11,0.6,NA,NA,FALSE
1 11,0.12,NA,NA,FALSE
1 11,0.12,NA,NA,FALSE
1 11,0.24,0.27,FALSE,FALSE
1 11,0.36,0.21000000000000002,FALSE,FALSE
1 11,0.6,0.33,FALSE,FALSE
1 11,0.12,0.33,TRUE,FALSE
1 11,0.48,0.39,FALSE,FALSE
1 11,0.24,0.36,FALSE,FALSE
1 11,0.6,0.36,FALSE,FALSE
1 11,0.96,0.5700000000000001,FALSE,FALSE
1 11,0.12,0.48,TRUE,FALSE
1 11,0.36,0.51,FALSE,FALSE
1 11,1.08,0.63,FALSE,FALSE
1 11,0.12,0.42000000000000004,TRUE,FALSE
1 11,0.36,0.48000000000000004,FALSE,TRUE
1 11,0.24,0.45000000000000007,FALSE,TRUE
1 11,0.12,0.21000000000000002,FALSE,TRUE
1 11,0.12,0.21000000000000002,FALSE,TRUE
1 11,7.666666666666666,2.0366666666666666,FALSE,FALSE
1 11,0.32,2.0566666666666666,TRUE,TRUE
1 11,0.08,2.0466666666666664,TRUE,TRUE
1 11,0.16,2.0566666666666666,TRUE,TRUE
1 12,0.12,NA,NA,FALSE
1 12,0.36,NA,NA,FALSE
1 12,0.24,NA,NA,FALSE
1 12,0.6,0.32999999999999996,FALSE,FALSE
1 12,0.12,0.32999999999999996,TRUE,FALSE
1 12,0.24,0.29999999999999993,FALSE,FALSE
1 12,0.48,0.36,FALSE,FALSE
1 12,1.44,0.57,FALSE,FALSE
1 12,0.12,0.57,TRUE,FALSE
1 12,0.12,0.5399999999999999,TRUE,FALSE
1 12,1.08,0.69,FALSE,FALSE
1 12,1.12,0.61,FALSE,FALSE
1 12,0.24,0.64,TRUE,FALSE
1 12,0.36,0.7,FALSE,TRUE
1 12,0.24,0.49,TRUE,TRUE
1 12,0.12,0.24,FALSE,TRUE
1 12,0.48,0.3,FALSE,TRUE
1 12,3,0.96,FALSE,FALSE
1 12,1.3333333333333333,1.2333333333333334,FALSE,FALSE
1 12,0.32,1.2833333333333334,TRUE,TRUE
1 12,0.32,1.2433333333333334,TRUE,TRUE
1 12,3.333333333333333,1.3266666666666667,FALSE,FALSE
1 13,0.12,NA,NA,FALSE
1 13,0.6,NA,NA,FALSE
1 13,0.6,NA,NA,FALSE
1 13,0.24,0.39,FALSE,FALSE
1 13,0.6,0.51,FALSE,FALSE
1 13,0.12,0.39,TRUE,FALSE
1 13,16.48,4.36,FALSE,FALSE
1 13,2.4,4.9,TRUE,FALSE
1 13,1.2,5.05,TRUE,FALSE
1 13,0.12,5.05,TRUE,FALSE
1 13,0.12,0.9600000000000004,TRUE,FALSE
1 13,1.08,0.6300000000000004,FALSE,FALSE
1 13,0.12,0.36000000000000043,TRUE,FALSE
1 13,0.36,0.4200000000000004,FALSE,FALSE
1 13,0.12,0.4200000000000004,TRUE,TRUE
1 13,0.36,0.24000000000000038,FALSE,TRUE
1 13,0.24,0.27000000000000035,FALSE,TRUE
1 13,0.36,0.27000000000000035,FALSE,TRUE
1 13,0.12,0.27000000000000035,TRUE,TRUE
1 13,0.72,0.3600000000000004,FALSE,TRUE
1 13,0.6,0.4500000000000004,FALSE,TRUE
1 13,3.6666666666666665,1.276666666666667,FALSE,FALSE
1 13,1.48,1.616666666666667,FALSE,TRUE
1 13,0.08,1.456666666666667,TRUE,TRUE
1 13,0.24,1.366666666666667,TRUE,TRUE
1 13,0.16,0.49000000000000044,TRUE,TRUE
1 13,0.08,0.14000000000000043,FALSE,TRUE
1 13,93,23.37,FALSE,FALSE
1 14,1.2,NA,NA,FALSE
1 14,0.12,NA,NA,FALSE
1 14,0.24,NA,NA,FALSE
1 14,0.24,0.44999999999999996,FALSE,FALSE
1 14,0.12,0.17999999999999994,FALSE,FALSE
1 14,0.6,0.29999999999999993,FALSE,FALSE
1 14,0.12,0.2699999999999999,TRUE,FALSE
1 14,0.12,0.23999999999999994,FALSE,FALSE
1 14,0.24,0.2699999999999999,FALSE,FALSE
1 14,0.48,0.23999999999999994,FALSE,FALSE
1 14,1.2,0.51,FALSE,FALSE
1 14,0.12,0.51,TRUE,FALSE
1 14,0.12,0.48,TRUE,FALSE
1 14,1.2000000000000002,0.66,FALSE,FALSE
1 14,0.12,0.39,TRUE,FALSE
1 14,0.12,0.39,TRUE,TRUE
1 14,1.48,0.73,FALSE,TRUE
1 14,0.24,0.4899999999999999,TRUE,TRUE
1 14,0.12,0.4899999999999999,TRUE,TRUE
1 14,1.12,0.7399999999999999,FALSE,TRUE
1 14,0.36,0.45999999999999985,FALSE,TRUE
1 14,0.36,0.4899999999999999,FALSE,TRUE
1 14,91,23.209999999999997,FALSE,FALSE
1 14,0.4,23.029999999999998,TRUE,FALSE
1 14,0.4,23.04,TRUE,TRUE
1 14,0.16,22.99,TRUE,TRUE
1 14,0.16,0.27999999999999786,FALSE,TRUE
1 14,0.16,0.21999999999999786,FALSE,TRUE
1 14,0.16,0.15999999999999787,FALSE,TRUE
1 15,0.6,NA,NA,FALSE
1 15,0.96,NA,NA,FALSE
1 15,0.12,NA,NA,FALSE
1 15,0.12,0.44999999999999996,TRUE,FALSE
1 15,0.48,0.41999999999999993,FALSE,FALSE
1 15,0.36,0.26999999999999996,FALSE,FALSE
1 15,0.24,0.29999999999999993,FALSE,FALSE
1 15,0.72,0.44999999999999996,FALSE,FALSE
1 15,0.12,0.36,TRUE,FALSE
1 15,0.48,0.38999999999999996,FALSE,FALSE
