name,degreein,date
89,0,2019-08-21
229,0,2019-08-21
242,0,2019-08-21
159,0,2019-08-21
188,0,2019-08-21
94,0,2019-08-21
34,0,2019-08-21
207,0,2019-08-21
86,0,2019-08-21
235,0,2019-08-21
270,0,2019-08-21
233,0,2019-08-21
9,0,2019-08-21
153,0,2019-08-21
262,0,2019-08-21
31,0,2019-08-21
1,0,2019-08-21
181,0,2019-08-21
278,0,2019-08-21
69,0,2019-08-21
149,0,2019-08-21
151,0,2019-08-21
154,0,2019-08-21
70,0,2019-08-21
142,0,2019-08-21
161,0,2019-08-21
41,0,2019-08-21
108,0,2019-08-21
34,1,2019-08-22
31,1,2019-08-22
89,0,2019-08-22
229,0,2019-08-22
242,0,2019-08-22
159,0,2019-08-22
188,0,2019-08-22
94,0,2019-08-22
207,0,2019-08-22
86,0,2019-08-22
235,0,2019-08-22
270,0,2019-08-22
233,0,2019-08-22
9,0,2019-08-22
153,0,2019-08-22
262,0,2019-08-22
1,0,2019-08-22
181,0,2019-08-22
278,0,2019-08-22
69,0,2019-08-22
149,0,2019-08-22
151,0,2019-08-22
154,0,2019-08-22
70,0,2019-08-22
142,0,2019-08-22
161,0,2019-08-22
41,0,2019-08-22
108,0,2019-08-22
89,0,2019-08-23
229,0,2019-08-23
242,0,2019-08-23
159,0,2019-08-23
188,0,2019-08-23
94,0,2019-08-23
34,0,2019-08-23
207,0,2019-08-23
86,0,2019-08-23
235,0,2019-08-23
270,0,2019-08-23
233,0,2019-08-23
9,0,2019-08-23
153,0,2019-08-23
262,0,2019-08-23
31,0,2019-08-23
1,0,2019-08-23
181,0,2019-08-23
278,0,2019-08-23
69,0,2019-08-23
149,0,2019-08-23
151,0,2019-08-23
154,0,2019-08-23
70,0,2019-08-23
142,0,2019-08-23
161,0,2019-08-23
41,0,2019-08-23
108,0,2019-08-23
89,0,2019-08-24
229,0,2019-08-24
242,0,2019-08-24
159,0,2019-08-24
188,0,2019-08-24
94,0,2019-08-24
34,0,2019-08-24
207,0,2019-08-24
86,0,2019-08-24
235,0,2019-08-24
270,0,2019-08-24
233,0,2019-08-24
9,0,2019-08-24
153,0,2019-08-24
262,0,2019-08-24
31,0,2019-08-24
1,0,2019-08-24
181,0,2019-08-24
278,0,2019-08-24
69,0,2019-08-24
149,0,2019-08-24
151,0,2019-08-24
154,0,2019-08-24
70,0,2019-08-24
142,0,2019-08-24
161,0,2019-08-24
41,0,2019-08-24
108,0,2019-08-24
89,0,2019-08-25
229,0,2019-08-25
242,0,2019-08-25
159,0,2019-08-25
188,0,2019-08-25
94,0,2019-08-25
34,0,2019-08-25
207,0,2019-08-25
86,0,2019-08-25
235,0,2019-08-25
270,0,2019-08-25
233,0,2019-08-25
9,0,2019-08-25
153,0,2019-08-25
262,0,2019-08-25
31,0,2019-08-25
1,0,2019-08-25
181,0,2019-08-25
278,0,2019-08-25
69,0,2019-08-25
149,0,2019-08-25
151,0,2019-08-25
154,0,2019-08-25
70,0,2019-08-25
142,0,2019-08-25
161,0,2019-08-25
41,0,2019-08-25
108,0,2019-08-25
89,0,2019-08-26
229,0,2019-08-26
242,0,2019-08-26
159,0,2019-08-26
188,0,2019-08-26
94,0,2019-08-26
34,0,2019-08-26
207,0,2019-08-26
86,0,2019-08-26
235,0,2019-08-26
270,0,2019-08-26
233,0,2019-08-26
9,0,2019-08-26
153,0,2019-08-26
262,0,2019-08-26
31,0,2019-08-26
1,0,2019-08-26
181,0,2019-08-26
278,0,2019-08-26
69,0,2019-08-26
149,0,2019-08-26
151,0,2019-08-26
154,0,2019-08-26
70,0,2019-08-26
142,0,2019-08-26
161,0,2019-08-26
41,0,2019-08-26
108,0,2019-08-26
31,3,2019-08-27
233,2,2019-08-27
1,2,2019-08-27
181,2,2019-08-27
151,1,2019-08-27
89,0,2019-08-27
229,0,2019-08-27
242,0,2019-08-27
159,0,2019-08-27
188,0,2019-08-27
94,0,2019-08-27
34,0,2019-08-27
207,0,2019-08-27
86,0,2019-08-27
235,0,2019-08-27
270,0,2019-08-27
9,0,2019-08-27
153,0,2019-08-27
262,0,2019-08-27
278,0,2019-08-27
69,0,2019-08-27
149,0,2019-08-27
154,0,2019-08-27
70,0,2019-08-27
142,0,2019-08-27
161,0,2019-08-27
41,0,2019-08-27
108,0,2019-08-27
69,4,2019-08-28
31,3,2019-08-28
151,3,2019-08-28
242,2,2019-08-28
207,2,2019-08-28
235,2,2019-08-28
278,2,2019-08-28
161,2,2019-08-28
159,1,2019-08-28
188,1,2019-08-28
153,1,2019-08-28
149,1,2019-08-28
154,1,2019-08-28
89,0,2019-08-28
229,0,2019-08-28
94,0,2019-08-28
34,0,2019-08-28
86,0,2019-08-28
270,0,2019-08-28
233,0,2019-08-28
9,0,2019-08-28
262,0,2019-08-28
1,0,2019-08-28
181,0,2019-08-28
70,0,2019-08-28
142,0,2019-08-28
41,0,2019-08-28
108,0,2019-08-28
235,10,2019-08-29
31,7,2019-08-29
149,6,2019-08-29
151,6,2019-08-29
207,5,2019-08-29
188,3,2019-08-29
153,3,2019-08-29
262,3,2019-08-29
1,3,2019-08-29
154,3,2019-08-29
242,2,2019-08-29
159,2,2019-08-29
233,2,2019-08-29
70,2,2019-08-29
89,1,2019-08-29
142,1,2019-08-29
41,1,2019-08-29
229,0,2019-08-29
94,0,2019-08-29
34,0,2019-08-29
86,0,2019-08-29
270,0,2019-08-29
9,0,2019-08-29
181,0,2019-08-29
278,0,2019-08-29
69,0,2019-08-29
161,0,2019-08-29
108,0,2019-08-29
9,15,2019-08-30
69,13,2019-08-30
153,12,2019-08-30
89,10,2019-08-30
262,10,2019-08-30
233,9,2019-08-30
151,9,2019-08-30
41,9,2019-08-30
142,8,2019-08-30
149,5,2019-08-30
70,4,2019-08-30
159,2,2019-08-30
31,2,2019-08-30
181,2,2019-08-30
161,2,2019-08-30
94,1,2019-08-30
154,1,2019-08-30
229,0,2019-08-30
