name,degreein,date
188,865,2019-09-01
9,830,2019-09-01
94,822,2019-09-01
108,799,2019-09-01
154,794,2019-09-01
41,772,2019-09-01
31,762,2019-09-01
159,761,2019-09-01
229,745,2019-09-01
70,743,2019-09-01
278,738,2019-09-01
233,704,2019-09-01
235,694,2019-09-01
1,689,2019-09-01
153,684,2019-09-01
149,668,2019-09-01
242,667,2019-09-01
69,656,2019-09-01
151,652,2019-09-01
86,642,2019-09-01
89,631,2019-09-01
262,619,2019-09-01
207,616,2019-09-01
270,613,2019-09-01
181,610,2019-09-01
34,603,2019-09-01
161,162,2019-09-01
142,104,2019-09-01
235,1181,2019-10-01
153,955,2019-10-01
154,890,2019-10-01
41,825,2019-10-01
188,791,2019-10-01
70,745,2019-10-01
108,744,2019-10-01
242,713,2019-10-01
31,713,2019-10-01
89,711,2019-10-01
9,708,2019-10-01
229,681,2019-10-01
69,677,2019-10-01
94,659,2019-10-01
233,654,2019-10-01
159,604,2019-10-01
1,603,2019-10-01
149,601,2019-10-01
270,583,2019-10-01
278,561,2019-10-01
262,531,2019-10-01
151,521,2019-10-01
86,511,2019-10-01
181,511,2019-10-01
34,483,2019-10-01
207,462,2019-10-01
142,199,2019-10-01
161,157,2019-10-01
108,1115,2019-11-01
41,1044,2019-11-01
94,956,2019-11-01
154,954,2019-11-01
69,857,2019-11-01
229,791,2019-11-01
159,779,2019-11-01
9,754,2019-11-01
235,736,2019-11-01
70,708,2019-11-01
153,696,2019-11-01
188,640,2019-11-01
242,638,2019-11-01
31,622,2019-11-01
1,613,2019-11-01
270,609,2019-11-01
34,557,2019-11-01
181,546,2019-11-01
89,545,2019-11-01
278,542,2019-11-01
149,539,2019-11-01
233,536,2019-11-01
262,511,2019-11-01
207,486,2019-11-01
86,451,2019-11-01
151,441,2019-11-01
142,199,2019-11-01
161,129,2019-11-01
41,1534,2019-12-01
108,1460,2019-12-01
154,1359,2019-12-01
94,1289,2019-12-01
69,1209,2019-12-01
229,1053,2019-12-01
70,965,2019-12-01
181,952,2019-12-01
149,941,2019-12-01
34,894,2019-12-01
9,892,2019-12-01
270,852,2019-12-01
188,851,2019-12-01
31,842,2019-12-01
262,836,2019-12-01
242,797,2019-12-01
153,789,2019-12-01
159,785,2019-12-01
278,776,2019-12-01
233,773,2019-12-01
235,743,2019-12-01
1,724,2019-12-01
89,635,2019-12-01
86,602,2019-12-01
207,542,2019-12-01
151,542,2019-12-01
142,316,2019-12-01
161,217,2019-12-01
108,1924,2020-01-01
94,1399,2020-01-01
149,1113,2020-01-01
154,1003,2020-01-01
233,980,2020-01-01
70,951,2020-01-01
41,907,2020-01-01
159,899,2020-01-01
69,896,2020-01-01
262,873,2020-01-01
181,835,2020-01-01
242,805,2020-01-01
1,789,2020-01-01
31,747,2020-01-01
188,745,2020-01-01
34,743,2020-01-01
270,727,2020-01-01
235,726,2020-01-01
153,726,2020-01-01
278,709,2020-01-01
9,694,2020-01-01
229,685,2020-01-01
86,671,2020-01-01
89,659,2020-01-01
151,650,2020-01-01
207,630,2020-01-01
142,355,2020-01-01
161,45,2020-01-01
108,955,2020-02-01
94,935,2020-02-01
159,716,2020-02-01
154,614,2020-02-01
34,603,2020-02-01
207,589,2020-02-01
41,554,2020-02-01
69,541,2020-02-01
70,518,2020-02-01
9,485,2020-02-01
89,472,2020-02-01
153,460,2020-02-01
181,450,2020-02-01
270,445,2020-02-01
233,445,2020-02-01
86,398,2020-02-01
149,398,2020-02-01
229,378,2020-02-01
1,361,2020-02-01
188,357,2020-02-01
262,350,2020-02-01
242,348,2020-02-01
31,342,2020-02-01
278,330,2020-02-01
235,329,2020-02-01
151,267,2020-02-01
142,213,2020-02-01
161,149,2020-02-01
94,1086,2020-03-01
108,904,2020-03-01
159,893,2020-03-01
207,795,2020-03-01
41,758,2020-03-01
154,707,2020-03-01
69,691,2020-03-01
233,661,2020-03-01
89,645,2020-03-01
86,583,2020-03-01
34,580,2020-03-01
181,561,2020-03-01
70,554,2020-03-01
278,537,2020-03-01
270,532,2020-03-01
1,497,2020-03-01
9,435,2020-03-01
153,434,2020-03-01
229,408,2020-03-01
149,391,2020-03-01
262,389,2020-03-01
242,359,2020-03-01
151,344,2020-03-01
188,336,2020-03-01
235,325,2020-03-01
31,307,2020-03-01
161,294,2020-03-01
142,135,2020-03-01
181,2491,2020-04-01
86,2389,2020-04-01
34,2294,2020-04-01
94,1625,2020-04-01
207,1558,2020-04-01
159,1551,2020-04-01
229,1478,2020-04-01
151,1465,2020-04-01
89,1431,2020-04-01
41,1400,2020-04-01
9,1391,2020-04-01
233,1330,2020-04-01
270,1319,2020-04-01
278,1297,2020-04-01
1,1278,2020-04-01
154,1216,2020-04-01
70,1174,2020-04-01
262,1149,2020-04-01
188,1096,2020-04-01
69,1083,2020-04-01
149,1018,2020-04-01
108,1015,2020-04-01
242,892,2020-04-01
235,866,2020-04-01
31,836,2020-04-01
153,817,2020-04-01
161,225,2020-04-01
142,69,2020-04-01
86,2419,2020-05-01
181,2366,2020-05-01
34,2000,2020-05-01
41,1469,2020-05-01
94,1405,2020-05-01
207,1332,2020-05-01
159,1263,2020-05-01
278,1172,2020-05-01
270,1158,2020-05-01
1,1128,2020-05-01
89,1110,2020-05-01
154,1046,2020-05-01
69,1029,2020-05-01
70,997,2020-05-01
233,870,2020-05-01
108,857,2020-05-01
9,845,2020-05-01
188,809,2020-05-01
151,686,2020-05-01
262,636,2020-05-01
31,616,2020-05-01
229,581,2020-05-01
235,567,2020-05-01
149,529,2020-05-01
242,527,2020-05-01
153,481,2020-05-01
142,303,2020-05-01
161,73,2020-05-01
181,2316,2020-06-01
86,2203,2020-06-01
94,1972,2020-06-01
159,1797,2020-06-01
34,1764,2020-06-01
207,1678,2020-06-01
89,1380,2020-06-01
41,1324,2020-06-01
154,1163,2020-06-01
108,1126,2020-06-01
188,1062,2020-06-01
70,1032,2020-06-01
69,1010,2020-06-01
233,925,2020-06-01
1,765,2020-06-01
278,762,2020-06-01
270,720,2020-06-01
9,704,2020-06-01
262,663,2020-06-01
151,632,2020-06-01
229,606,2020-06-01
149,582,2020-06-01
31,575,2020-06-01
153,572,2020-06-01
242,535,2020-06-01
235,533,2020-06-01
142,314,2020-06-01
161,16,2020-06-01
34,401,2020-07-01
41,355,2020-07-01
154,331,2020-07-01
69,302,2020-07-01
181,300,2020-07-01
86,290,2020-07-01
159,269,2020-07-01
94,265,2020-07-01
278,227,2020-07-01
142,203,2020-07-01
89,197,2020-07-01
108,180,2020-07-01
270,173,2020-07-01
70,170,2020-07-01
207,167,2020-07-01
233,157,2020-07-01
1,118,2020-07-01
9,113,2020-07-01
262,105,2020-07-01
149,100,2020-07-01
188,94,2020-07-01
153,61,2020-07-01
31,55,2020-07-01
151,52,2020-07-01
229,32,2020-07-01
235,32,2020-07-01
242,30,2020-07-01
161,6,2020-07-01
69,590,2020-08-01
41,551,2020-08-01
154,390,2020-08-01
94,336,2020-08-01
159,328,2020-08-01
34,297,2020-08-01
181,258,2020-08-01
89,249,2020-08-01
86,243,2020-08-01
207,227,2020-08-01
270,225,2020-08-01
108,211,2020-08-01
142,208,2020-08-01
70,205,2020-08-01
278,187,2020-08-01
153,135,2020-08-01
233,130,2020-08-01
262,124,2020-08-01
31,105,2020-08-01
149,95,2020-08-01
188,88,2020-08-01
151,82,2020-08-01
1,80,2020-08-01
235,71,2020-08-01
229,66,2020-08-01
9,58,2020-08-01
242,38,2020-08-01
161,0,2020-08-01
34,887,2020-09-01
86,834,2020-09-01
94,793,2020-09-01
154,742,2020-09-01
41,727,2020-09-01
181,721,2020-09-01
108,655,2020-09-01
235,597,2020-09-01
159,555,2020-09-01
70,545,2020-09-01
242,526,2020-09-01
229,516,2020-09-01
153,507,2020-09-01
89,496,2020-09-01
207,471,2020-09-01
31,431,2020-09-01
270,413,2020-09-01
262,400,2020-09-01
9,389,2020-09-01
233,388,2020-09-01
69,388,2020-09-01
278,366,2020-09-01
151,356,2020-09-01
1,337,2020-09-01
188,276,2020-09-01
142,206,2020-09-01
149,186,2020-09-01
161,3,2020-09-01
34,1134,2020-10-01
86,1086,2020-10-01
181,961,2020-10-01
154,961,2020-10-01
94,912,2020-10-01
159,850,2020-10-01
207,805,2020-10-01
41,797,2020-10-01
229,763,2020-10-01
235,744,2020-10-01
242,700,2020-10-01
89,698,2020-10-01
70,694,2020-10-01
153,592,2020-10-01
108,549,2020-10-01
9,523,2020-10-01
151,515,2020-10-01
262,506,2020-10-01
270,466,2020-10-01
31,457,2020-10-01
69,447,2020-10-01
278,407,2020-10-01
1,386,2020-10-01
233,367,2020-10-01
188,276,2020-10-01
149,240,2020-10-01
142,178,2020-10-01
161,4,2020-10-01
154,984,2020-11-01
34,929,2020-11-01
94,913,2020-11-01
41,849,2020-11-01
108,698,2020-11-01
159,696,2020-11-01
86,623,2020-11-01
69,610,2020-11-01
181,599,2020-11-01
70,580,2020-11-01
9,544,2020-11-01
229,496,2020-11-01
242,489,2020-11-01
207,479,2020-11-01
235,475,2020-11-01
153,465,2020-11-01
270,449,2020-11-01
89,437,2020-11-01
278,405,2020-11-01
233,390,2020-11-01
151,366,2020-11-01
31,344,2020-11-01
1,312,2020-11-01
262,272,2020-11-01
142,240,2020-11-01
188,200,2020-11-01
149,188,2020-11-01
161,0,2020-11-01
154,1620,2020-12-01
41,1076,2020-12-01
34,1049,2020-12-01
94,973,2020-12-01
235,941,2020-12-01
229,847,2020-12-01
70,802,2020-12-01
69,792,2020-12-01
153,780,2020-12-01
108,769,2020-12-01
242,736,2020-12-01
86,647,2020-12-01
31,632,2020-12-01
159,619,2020-12-01
207,609,2020-12-01
151,592,2020-12-01
270,581,2020-12-01
262,567,2020-12-01
181,533,2020-12-01
9,510,2020-12-01
278,503,2020-12-01
89,454,2020-12-01
1,415,2020-12-01
233,297,2020-12-01
149,252,2020-12-01
188,221,2020-12-01
142,142,2020-12-01
161,0,2020-12-01
108,562,2021-01-01
41,481,2021-01-01
94,427,2021-01-01
69,396,2021-01-01
34,366,2021-01-01
154,277,2021-01-01
181,275,2021-01-01
86,264,2021-01-01
229,176,2021-01-01
278,176,2021-01-01
