name,centrality_degreein,connectivity_impact,coreness,eccentricity,date
89,26126,0,9862,1,2020-01-01
229,11637,0,9862,1,2020-01-01
242,21813,0,9862,1,2020-01-01
159,20131,0,9862,1,2020-01-01
188,17522,0,9862,1,2020-01-01
94,25731,0,9862,1,2020-01-01
34,34559,0,11797,1,2020-01-01
207,14898,0,9862,1,2020-01-01
86,20525,0,11797,1,2020-01-01
235,10027,0,9862,1,2020-01-01
270,13180,0,9862,1,2020-01-01
233,14991,0,9862,1,2020-01-01
9,12960,0,9862,1,2020-01-01
153,20315,0,9862,1,2020-01-01
262,10004,0,9862,1,2020-01-01
31,11153,0,9862,1,2020-01-01
1,10817,0,9862,1,2020-01-01
181,22264,0,11797,1,2020-01-01
278,22459,0,9862,1,2020-01-01
69,20014,0,9862,1,2020-01-01
149,11099,0,9862,1,2020-01-01
151,7933,0,7888,1,2020-01-01
154,12728,0,9862,1,2020-01-01
70,13933,0,9862,1,2020-01-01
142,11177,0,9862,1,2020-01-01
161,3433,0,3433,1,2020-01-01
41,16001,0,9862,1,2020-01-01
108,14892,0,9862,1,2020-01-01
89,7404,0,4626,2,2021-01-01
229,5546,0,4777,2,2021-01-01
242,9047,0,4777,2,2021-01-01
159,6400,0,4626,2,2021-01-01
188,3732,0,2394,2,2021-01-01
94,11923,0,6458,2,2021-01-01
34,10665,0,5215,2,2021-01-01
207,5054,0,4626,2,2021-01-01
86,7448,0,5215,2,2021-01-01
235,5263,0,4777,2,2021-01-01
270,4571,0,3283,2,2021-01-01
233,2452,0,2292,2,2021-01-01
9,3853,0,3635,2,2021-01-01
153,7306,0,4777,2,2021-01-01
262,4251,0,3114,2,2021-01-01
31,4046,0,3114,2,2021-01-01
1,2857,0,2740,2,2021-01-01
181,5943,0,5215,2,2021-01-01
278,5301,0,3283,2,2021-01-01
69,7852,0,5129,2,2021-01-01
149,1736,0,1736,2,2021-01-01
151,2960,0,2717,2,2021-01-01
154,7784,0,3283,2,2021-01-01
70,6336,0,3283,2,2021-01-01
142,2732,0,2536,3,2021-01-01
161,12,0,12,3,2021-01-01
41,8532,0,5129,2,2021-01-01
108,7160,0,6458,2,2021-01-01
