from,to,timestamp,rel_type
89,229,1597412375331.0,msg
229,89,1597412358913.0,msg
89,229,1597412345946.0,msg
229,89,1597412307676.0,msg
229,89,1597412287849.0,msg
229,89,1597412281130.0,msg
89,229,1597412264151.0,msg
229,89,1597412220396.0,msg
89,229,1597412119783.0,msg
229,89,1597395843270.0,msg
242,89,1575630353465.0,reaction
89,107,1588865536139.0,msg
89,107,1588865467377.0,msg
89,107,1588865446452.0,msg
188,107,,group
89,107,,group
89,188,1605884380174.0,reaction
89,188,1605447106868.0,reaction
159,89,1604606220427.0,reaction
188,89,1606649117489.0,msg
89,188,1606648129023.0,msg
188,89,1606596543534.0,msg
188,89,1605381239604.0,msg
89,188,1605380761374.0,msg
188,89,1605376998682.0,msg
188,89,1605376987444.0,msg
89,188,1605355275821.0,msg
89,188,1605355270752.0,msg
188,89,1605354864000.0,msg
89,188,1605282677871.0,msg
188,89,1605282339421.0,msg
188,89,1605282331007.0,msg
89,188,1605281308230.0,msg
89,188,1605281279537.0,msg
89,188,1605281136854.0,msg
188,89,1605281131975.0,msg
89,188,1605281131268.0,msg
188,89,1605281125931.0,msg
89,188,1605281115033.0,msg
188,89,1605281106092.0,msg
188,89,1605281085441.0,msg
89,188,1605281083728.0,msg
188,89,1605281068338.0,msg
89,188,1605281067187.0,msg
188,89,1605281048216.0,msg
89,188,1605280931640.0,msg
188,89,1603272291952.0,msg
89,188,1603271822036.0,msg
188,89,1603260378356.0,msg
89,188,1601904303037.0,msg
188,89,1601240533739.0,msg
89,188,1601240418378.0,msg
89,188,1601240411767.0,msg
188,89,1601240305721.0,msg
89,188,1601240074839.0,msg
188,89,1601240029179.0,msg
89,188,1601239990025.0,msg
188,89,1601239823207.0,msg
89,188,1601219827781.0,msg
188,89,1601219818999.0,msg
89,188,1601219817318.0,msg
188,89,1601219814223.0,msg
188,89,1601219808923.0,msg
89,188,1601219798306.0,msg
89,188,1601219529682.0,msg
188,89,1601219411350.0,msg
89,188,1601218798984.0,msg
89,188,1601218796813.0,msg
188,89,1601218786464.0,msg
89,188,1601218590493.0,msg
89,188,1601218582040.0,msg
89,188,1601203732198.0,msg
188,89,1601200661990.0,msg
89,188,1601197143312.0,msg
89,188,1601197140663.0,msg
89,188,1601197124197.0,msg
89,188,1601197120815.0,msg
188,89,1601196924380.0,msg
188,89,1601196914463.0,msg
188,89,1601196907131.0,msg
188,89,1601196885759.0,msg
188,89,1601196343782.0,msg
188,89,1601196071123.0,msg
89,188,1601191423104.0,msg
89,188,1601191367615.0,msg
89,188,1601191328706.0,msg
89,188,1601191068623.0,msg
89,188,1600884261315.0,msg
89,188,1600884242271.0,msg
89,188,1600806501892.0,msg
89,188,1600806490408.0,msg
89,188,1600806487542.0,msg
188,89,1600806223226.0,msg
188,89,1600806221433.0,msg
188,89,1600806215297.0,msg
188,89,1600806173842.0,msg
89,188,1600806169552.0,msg
89,188,1600806067537.0,msg
89,188,1600806051383.0,msg
188,89,1600805099489.0,msg
188,89,1600805096886.0,msg
89,188,1600804660586.0,msg
188,89,1600804637115.0,msg
89,188,1600804587815.0,msg
188,89,1600797337003.0,msg
188,89,1600797316710.0,msg
188,89,1600796887378.0,msg
89,188,1600796799382.0,msg
188,89,1600796673644.0,msg
188,89,1600796657016.0,msg
89,188,1600796174509.0,msg
89,188,1600796159841.0,msg
188,89,1600794773955.0,msg
188,89,1600794767808.0,msg
188,89,1600794752581.0,msg
89,188,1600680250672.0,msg
188,89,1600680144121.0,msg
188,89,1600680134052.0,msg
89,188,1600680001620.0,msg
89,188,1600677490942.0,msg
188,89,1600677366280.0,msg
188,89,1600677364363.0,msg
89,188,1600676771833.0,msg
89,188,1600676738224.0,msg
